zip_code,zip_city,municipal_code,municipal_number
1372,ASKER,3025,ASKER
1373,ASKER,3025,ASKER
1375,BILLINGSTAD,3025,ASKER
1376,BILLINGSTAD,3025,ASKER
1377,BILLINGSTAD,3025,ASKER
1378,NESBRU,3025,ASKER
1379,NESBRU,3025,ASKER
1380,HEGGEDAL,3025,ASKER
1381,VETTRE,3025,ASKER
1383,ASKER,3025,ASKER
1384,ASKER,3025,ASKER
1385,ASKER,3025,ASKER
1386,ASKER,3025,ASKER
1387,ASKER,3025,ASKER
1388,BORGEN,3025,ASKER
1389,HEGGEDAL,3025,ASKER
1390,VOLLEN,3025,ASKER
1391,VOLLEN,3025,ASKER
1392,VETTRE,3025,ASKER
1393,VOLLEN,3025,ASKER
1394,NESBRU,3025,ASKER
1395,HVALSTAD,3025,ASKER
1396,BILLINGSTAD,3025,ASKER
1397,NESØYA,3025,ASKER
1399,ASKER,3025,ASKER
1400,SKI,3020,NORDRE FOLLO
1401,SKI,3020,NORDRE FOLLO
1402,SKI,3020,NORDRE FOLLO
1403,LANGHUS,3020,NORDRE FOLLO
1404,SIGGERUD,3020,NORDRE FOLLO
1405,LANGHUS,3020,NORDRE FOLLO
1406,SKI,3020,NORDRE FOLLO
1407,VINTERBRO,3021,ÅS
1408,KRÅKSTAD,3020,NORDRE FOLLO
1409,SKOTBU,3020,NORDRE FOLLO
1410,KOLBOTN,3020,NORDRE FOLLO
1411,KOLBOTN,3020,NORDRE FOLLO
1412,SOFIEMYR,3020,NORDRE FOLLO
1413,TÅRNÅSEN,3020,NORDRE FOLLO
1414,TROLLÅSEN,3020,NORDRE FOLLO
1415,OPPEGÅRD,3020,NORDRE FOLLO
1416,OPPEGÅRD,3020,NORDRE FOLLO
1417,SOFIEMYR,3020,NORDRE FOLLO
1418,KOLBOTN,3020,NORDRE FOLLO
1419,OPPEGÅRD,3020,NORDRE FOLLO
1420,SVARTSKOG,3020,NORDRE FOLLO
1421,TROLLÅSEN,3020,NORDRE FOLLO
1422,SIGGERUD,3020,NORDRE FOLLO
1423,SKI,3020,NORDRE FOLLO
1424,SKI,3020,NORDRE FOLLO
1425,SKI,3020,NORDRE FOLLO
1429,VINTERBRO,3021,ÅS
1430,ÅS,3021,ÅS
1431,ÅS,3021,ÅS
1432,ÅS,3021,ÅS
1433,ÅS,3021,ÅS
1434,ÅS,3021,ÅS
1435,ÅS,3021,ÅS
1440,DRØBAK,3022,FROGN
1441,DRØBAK,3022,FROGN
1442,DRØBAK,3022,FROGN
1443,DRØBAK,3022,FROGN
1444,DRØBAK,3022,FROGN
1445,DRØBAK,3022,FROGN
1446,DRØBAK,3022,FROGN
1447,DRØBAK,3022,FROGN
1448,DRØBAK,3022,FROGN
1449,DRØBAK,3022,FROGN
1450,NESODDTANGEN,3023,NESODDEN
1451,NESODDTANGEN,3023,NESODDEN
1452,NESODDTANGEN,3023,NESODDEN
1453,BJØRNEMYR,3023,NESODDEN
1454,FAGERSTRAND,3023,NESODDEN
1455,NORDRE FROGN,3022,FROGN
1456,NESODDTANGEN,3023,NESODDEN
1457,FAGERSTRAND,3023,NESODDEN
1458,FJELLSTRAND,3023,NESODDEN
1459,NESODDEN,3023,NESODDEN
1461,LØRENSKOG,3029,LØRENSKOG
1462,FJELLHAMAR,3029,LØRENSKOG
1463,FJELLHAMAR,3029,LØRENSKOG
1464,FJELLHAMAR,3029,LØRENSKOG
1465,STRØMMEN,3030,LILLESTRØM
1466,STRØMMEN,3030,LILLESTRØM
1467,STRØMMEN,3030,LILLESTRØM
1468,FINSTADJORDET,3029,LØRENSKOG
1469,RASTA,3029,LØRENSKOG
1470,LØRENSKOG,3029,LØRENSKOG
1471,LØRENSKOG,3029,LØRENSKOG
1472,FJELLHAMAR,3029,LØRENSKOG
1473,LØRENSKOG,3029,LØRENSKOG
1474,LØRENSKOG,3029,LØRENSKOG
1475,FINSTADJORDET,3029,LØRENSKOG
1476,RASTA,3029,LØRENSKOG
1477,FJELLHAMAR,3029,LØRENSKOG
1478,LØRENSKOG,3029,LØRENSKOG
1479,KURLAND,3029,LØRENSKOG
1480,SLATTUM,3031,NITTEDAL
1481,HAGAN,3031,NITTEDAL
1482,NITTEDAL,3031,NITTEDAL
1483,HAGAN,3031,NITTEDAL
1484,HAKADAL,3031,NITTEDAL
1485,HAKADAL,3031,NITTEDAL
1486,NITTEDAL,3031,NITTEDAL
1487,HAKADAL,3031,NITTEDAL
1488,HAKADAL,3031,NITTEDAL
1501,MOSS,3002,MOSS
1502,MOSS,3002,MOSS
1503,MOSS,3002,MOSS
1504,MOSS,3002,MOSS
1506,MOSS,3002,MOSS
1508,MOSS,3002,MOSS
1509,MOSS,3002,MOSS
